nt n field kernel bw
64 12 Gauge-SU3 su3Xsu3_h_shift_xy 457.2133
64 12 Gauge-SU3 su3Xsu3_h_shift_xz 440.1401
64 12 Gauge-SU3 su3Xsu3_h_shift_xt 447.1709
64 12 Gauge-SU3 su3Xsu3_h_shift_yz 455.4061
64 12 Gauge-SU3 su3Xsu3_h_shift_yt 451.5666
64 12 Gauge-SU3 su3Xsu3_h_shift_zt 457.3242
64 12 Gauge-SU3 su3Xsu3_h_shift_xyz 465.8321
64 12 Gauge-SU3 su3Xsu3_h_shift_xyt 457.3300
64 12 Gauge-SU3 su3Xsu3_h_shift_xzt 459.4941
64 12 Gauge-SU3 su3Xsu3_h_shift_yzt 468.4509
64 12 Gauge-SU3 su3Xsu3_h_shift_xyzt 458.8468
64 16 4D-complex axpy 125.9551
64 16 4D-complex axpy_h_no_offset 125.4278
64 16 4D-complex axpy_h_offset_x 123.1446
64 16 4D-complex axpy_h_offset_y 123.7988
64 16 4D-complex axpy_h_offset_z 129.2145
64 16 4D-complex axpy_h_offset_t 121.2998
64 16 4D-complex axpy_h_offset_xy 123.7258
64 16 4D-complex axpy_h_offset_xz 129.9351
64 16 4D-complex axpy_h_offset_xt 119.4278
64 16 4D-complex axpy_h_offset_yz 130.0963
64 16 4D-complex axpy_h_offset_yt 123.5727
64 16 4D-complex axpy_h_offset_zt 129.0635
64 16 4D-complex axpy_h_offset_xyz 129.3740
64 16 4D-complex axpy_h_offset_xyt 121.0827
64 16 4D-complex axpy_h_offset_xzt 129.0635
64 16 4D-complex axpy_h_offset_yzt 128.8098
64 16 4D-complex axpy_h_offset_xyzt 130.8267
64 16 Gauge-SU3 su3Xsu3 545.0530
64 16 Gauge-SU3 su3Xsu3_h_no_shift 563.6074
64 16 Gauge-SU3 su3Xsu3_h_shift_x 573.7733
64 16 Gauge-SU3 su3Xsu3_h_shift_y 564.7627
64 16 Gauge-SU3 su3Xsu3_h_shift_z 562.9938
64 16 Gauge-SU3 su3Xsu3_h_shift_t 557.8356
64 16 Gauge-SU3 su3Xsu3_h_shift_xy 573.4566
64 16 Gauge-SU3 su3Xsu3_h_shift_xz 569.7320
64 16 Gauge-SU3 su3Xsu3_h_shift_xt 560.8164
64 16 Gauge-SU3 su3Xsu3_h_shift_yz 566.3698
64 16 Gauge-SU3 su3Xsu3_h_shift_yt 561.1248
64 16 Gauge-SU3 su3Xsu3_h_shift_zt 569.6203
64 16 Gauge-SU3 su3Xsu3_h_shift_xyz 583.7102
64 16 Gauge-SU3 su3Xsu3_h_shift_xyt 594.7461
64 16 Gauge-SU3 su3Xsu3_h_shift_xzt 592.6918
64 16 Gauge-SU3 su3Xsu3_h_shift_yzt 593.1605
64 16 Gauge-SU3 su3Xsu3_h_shift_xyzt 607.6418
64 20 4D-complex axpy 252.9644
64 20 4D-complex axpy_h_no_offset 241.0546
64 20 4D-complex axpy_h_offset_x 238.9063
64 20 4D-complex axpy_h_offset_y 238.9174
64 20 4D-complex axpy_h_offset_z 252.0802
64 20 4D-complex axpy_h_offset_t 236.3804
64 20 4D-complex axpy_h_offset_xy 236.8178
64 20 4D-complex axpy_h_offset_xz 255.6293
64 20 4D-complex axpy_h_offset_xt 240.8278
64 20 4D-complex axpy_h_offset_yz 254.8532
64 20 4D-complex axpy_h_offset_yt 239.5770
64 20 4D-complex axpy_h_offset_zt 252.9644
64 20 4D-complex axpy_h_offset_xyz 254.2205
64 20 4D-complex axpy_h_offset_xyt 238.8060
64 20 4D-complex axpy_h_offset_xzt 256.6287
64 20 4D-complex axpy_h_offset_yzt 252.8395
64 20 4D-complex axpy_h_offset_xyzt 253.5909
64 20 Gauge-SU3 su3Xsu3 276.4208
64 20 Gauge-SU3 su3Xsu3_h_no_shift 290.3153
64 20 Gauge-SU3 su3Xsu3_h_shift_x 303.5263
64 20 Gauge-SU3 su3Xsu3_h_shift_y 301.2506
64 20 Gauge-SU3 su3Xsu3_h_shift_z 294.7539
64 20 Gauge-SU3 su3Xsu3_h_shift_t 244.7191
64 20 Gauge-SU3 su3Xsu3_h_shift_xy 286.8484
64 20 Gauge-SU3 su3Xsu3_h_shift_xz 292.9205
64 20 Gauge-SU3 su3Xsu3_h_shift_xt 246.6864
64 20 Gauge-SU3 su3Xsu3_h_shift_yz 296.8390
64 20 Gauge-SU3 su3Xsu3_h_shift_yt 238.6773
64 20 Gauge-SU3 su3Xsu3_h_shift_zt 238.4918
64 20 Gauge-SU3 su3Xsu3_h_shift_xyz 292.6569
64 20 Gauge-SU3 su3Xsu3_h_shift_xyt 232.3900
64 20 Gauge-SU3 su3Xsu3_h_shift_xzt 248.0055
64 20 Gauge-SU3 su3Xsu3_h_shift_yzt 236.5898
64 20 Gauge-SU3 su3Xsu3_h_shift_xyzt 237.5168
64 24 4D-complex axpy 397.9322
64 24 4D-complex axpy_h_no_offset 396.0027
64 24 4D-complex axpy_h_offset_x 392.3441
64 24 4D-complex axpy_h_offset_y 386.7698
64 24 4D-complex axpy_h_offset_z 409.2684
64 24 4D-complex axpy_h_offset_t 396.2983
64 24 4D-complex axpy_h_offset_xy 390.8996
64 24 4D-complex axpy_h_offset_xz 407.0871
64 24 4D-complex axpy_h_offset_xt 384.3893
64 24 4D-complex axpy_h_offset_yz 403.5284
64 24 4D-complex axpy_h_offset_yt 390.4683
64 24 4D-complex axpy_h_offset_zt 407.2433
64 24 4D-complex axpy_h_offset_xyz 408.1670
64 24 4D-complex axpy_h_offset_xyt 399.2791
64 24 4D-complex axpy_h_offset_xzt 412.4643
64 24 4D-complex axpy_h_offset_yzt 405.3773
64 24 4D-complex axpy_h_offset_xyzt 412.3042
64 24 Gauge-SU3 su3Xsu3 107.9086
64 24 Gauge-SU3 su3Xsu3_h_no_shift 112.6193
64 24 Gauge-SU3 su3Xsu3_h_shift_x 109.4602
64 24 Gauge-SU3 su3Xsu3_h_shift_y 110.3652
64 24 Gauge-SU3 su3Xsu3_h_shift_z 109.3894
64 24 Gauge-SU3 su3Xsu3_h_shift_t 108.7303
64 24 Gauge-SU3 su3Xsu3_h_shift_xy 109.0194
64 24 Gauge-SU3 su3Xsu3_h_shift_xz 109.0994
64 24 Gauge-SU3 su3Xsu3_h_shift_xt 107.4979
64 24 Gauge-SU3 su3Xsu3_h_shift_yz 107.7393
64 24 Gauge-SU3 su3Xsu3_h_shift_yt 109.6193
64 24 Gauge-SU3 su3Xsu3_h_shift_zt 108.8748
64 24 Gauge-SU3 su3Xsu3_h_shift_xyz 109.4851
64 24 Gauge-SU3 su3Xsu3_h_shift_xyt 107.6642
64 24 Gauge-SU3 su3Xsu3_h_shift_xzt 106.9179
64 24 Gauge-SU3 su3Xsu3_h_shift_yzt 107.0505
64 24 Gauge-SU3 su3Xsu3_h_shift_xyzt 110.4682
64 28 4D-complex axpy 527.0221
64 28 4D-complex axpy_h_no_offset 487.7013
64 28 4D-complex axpy_h_offset_x 516.7891
64 28 4D-complex axpy_h_offset_y 515.1648
64 28 4D-complex axpy_h_offset_z 537.1106
64 28 4D-complex axpy_h_offset_t 482.4379
64 28 4D-complex axpy_h_offset_xy 506.8022
64 28 4D-complex axpy_h_offset_xz 522.4168
64 28 4D-complex axpy_h_offset_xt 483.0303
64 28 4D-complex axpy_h_offset_yz 532.3137
64 28 4D-complex axpy_h_offset_yt 506.5411
64 28 4D-complex axpy_h_offset_zt 502.7861
64 28 4D-complex axpy_h_offset_xyz 536.0859
64 28 4D-complex axpy_h_offset_xyt 506.4107
64 28 4D-complex axpy_h_offset_xzt 530.1615
64 28 4D-complex axpy_h_offset_yzt 539.7638
64 28 4D-complex axpy_h_offset_xyzt 532.3137
64 28 Gauge-SU3 su3Xsu3 114.2194
64 28 Gauge-SU3 su3Xsu3_h_no_shift 112.5801
64 28 Gauge-SU3 su3Xsu3_h_shift_x 110.4027
64 28 Gauge-SU3 su3Xsu3_h_shift_y 112.7195
64 28 Gauge-SU3 su3Xsu3_h_shift_z 112.4848
64 28 Gauge-SU3 su3Xsu3_h_shift_t 107.3974
64 28 Gauge-SU3 su3Xsu3_h_shift_xy 108.0894
64 28 Gauge-SU3 su3Xsu3_h_shift_xz 108.6410
64 28 Gauge-SU3 su3Xsu3_h_shift_xt 106.1310
64 28 Gauge-SU3 su3Xsu3_h_shift_yz 110.1352
64 28 Gauge-SU3 su3Xsu3_h_shift_yt 110.2356
64 28 Gauge-SU3 su3Xsu3_h_shift_zt 110.8908
64 28 Gauge-SU3 su3Xsu3_h_shift_xyz 110.9653
64 28 Gauge-SU3 su3Xsu3_h_shift_xyt 109.8048
64 28 Gauge-SU3 su3Xsu3_h_shift_xzt 111.3512
64 28 Gauge-SU3 su3Xsu3_h_shift_yzt 112.4442
64 28 Gauge-SU3 su3Xsu3_h_shift_xyzt 111.9677
64 32 4D-complex axpy 76.1351
64 32 4D-complex axpy_h_no_offset 529.4167
64 32 4D-complex axpy_h_offset_x 511.0331
64 32 4D-complex axpy_h_offset_y 568.9120
64 32 4D-complex axpy_h_offset_z 555.4450
64 32 4D-complex axpy_h_offset_t 547.4699
64 32 4D-complex axpy_h_offset_xy 540.8516
64 32 4D-complex axpy_h_offset_xz 548.6336
64 32 4D-complex axpy_h_offset_xt 540.3290
64 32 4D-complex axpy_h_offset_yz 606.7709
64 32 4D-complex axpy_h_offset_yt 577.1316
64 32 4D-complex axpy_h_offset_zt 573.0902
64 32 4D-complex axpy_h_offset_xyz 585.1837
64 32 4D-complex axpy_h_offset_xyt 603.6055
64 32 4D-complex axpy_h_offset_xzt 613.9765
64 32 4D-complex axpy_h_offset_yzt 619.3140
64 32 4D-complex axpy_h_offset_xyzt 584.3684
64 32 Gauge-SU3 su3Xsu3 113.1548
64 32 Gauge-SU3 su3Xsu3_h_no_shift 113.4703
64 32 Gauge-SU3 su3Xsu3_h_shift_x 112.8439
64 32 Gauge-SU3 su3Xsu3_h_shift_y 111.9491
64 32 Gauge-SU3 su3Xsu3_h_shift_z 113.0212
64 32 Gauge-SU3 su3Xsu3_h_shift_t 111.4012
64 32 Gauge-SU3 su3Xsu3_h_shift_xy 111.8482
64 32 Gauge-SU3 su3Xsu3_h_shift_xz 112.5618
64 32 Gauge-SU3 su3Xsu3_h_shift_xt 111.3926
64 32 Gauge-SU3 su3Xsu3_h_shift_yz 112.3108
64 32 Gauge-SU3 su3Xsu3_h_shift_yt 111.3619
64 32 Gauge-SU3 su3Xsu3_h_shift_zt 111.8307
64 32 Gauge-SU3 su3Xsu3_h_shift_xyz 112.7367
64 32 Gauge-SU3 su3Xsu3_h_shift_xyt 110.5855
64 32 Gauge-SU3 su3Xsu3_h_shift_xzt 112.2441
64 32 Gauge-SU3 su3Xsu3_h_shift_yzt 111.7189
64 32 Gauge-SU3 su3Xsu3_h_shift_xyzt 111.6333
64 36 4D-complex axpy 649.8254
64 36 4D-complex axpy_h_no_offset 611.7427
64 36 4D-complex axpy_h_offset_x 646.3946
64 36 4D-complex axpy_h_offset_y 691.8139
64 36 4D-complex axpy_h_offset_z 633.5857
64 36 4D-complex axpy_h_offset_t 624.3128
64 36 4D-complex axpy_h_offset_xy 627.3076
64 36 4D-complex axpy_h_offset_xz 665.7630
64 36 4D-complex axpy_h_offset_xt 594.7517
64 36 4D-complex axpy_h_offset_yz 663.2245
