nt n field kernel bw
32 12 Gauge-SU3 su3Xsu3_h_shift_xyzt 763.6788
32 16 4D-complex axpy 155.2296
32 16 4D-complex axpy_h_no_offset 155.9221
32 16 4D-complex axpy_h_offset_x 154.2024
32 16 4D-complex axpy_h_offset_y 154.0891
32 16 4D-complex axpy_h_offset_z 157.4438
32 16 4D-complex axpy_h_offset_t 155.9221
32 16 4D-complex axpy_h_offset_xy 153.9759
32 16 4D-complex axpy_h_offset_xz 154.6572
32 16 4D-complex axpy_h_offset_xt 155.9221
32 16 4D-complex axpy_h_offset_yz 156.8433
32 16 4D-complex axpy_h_offset_yt 156.8668
32 16 4D-complex axpy_h_offset_zt 159.8439
32 16 4D-complex axpy_h_offset_xyz 156.9725
32 16 4D-complex axpy_h_offset_xyt 153.9759
32 16 4D-complex axpy_h_offset_xzt 153.2894
32 16 4D-complex axpy_h_offset_yzt 154.2024
32 16 4D-complex axpy_h_offset_xyzt 153.9759
32 16 Gauge-SU3 su3Xsu3 780.9491
32 16 Gauge-SU3 su3Xsu3_h_no_shift 781.1107
32 16 Gauge-SU3 su3Xsu3_h_shift_x 770.9540
32 16 Gauge-SU3 su3Xsu3_h_shift_y 783.1634
32 16 Gauge-SU3 su3Xsu3_h_shift_z 784.4654
32 16 Gauge-SU3 su3Xsu3_h_shift_t 784.0798
32 16 Gauge-SU3 su3Xsu3_h_shift_xy 784.5252
32 16 Gauge-SU3 su3Xsu3_h_shift_xz 776.3981
32 16 Gauge-SU3 su3Xsu3_h_shift_xt 780.7283
32 16 Gauge-SU3 su3Xsu3_h_shift_yz 779.8198
32 16 Gauge-SU3 su3Xsu3_h_shift_yt 797.7838
32 16 Gauge-SU3 su3Xsu3_h_shift_zt 779.3904
32 16 Gauge-SU3 su3Xsu3_h_shift_xyz 777.1440
32 16 Gauge-SU3 su3Xsu3_h_shift_xyt 769.3775
32 16 Gauge-SU3 su3Xsu3_h_shift_xzt 776.1853
32 16 Gauge-SU3 su3Xsu3_h_shift_yzt 784.3567
32 16 Gauge-SU3 su3Xsu3_h_shift_xyzt 774.7515
32 20 4D-complex axpy 322.8247
32 20 4D-complex axpy_h_no_offset 319.4011
32 20 4D-complex axpy_h_offset_x 317.6179
32 20 4D-complex axpy_h_offset_y 319.4011
32 20 4D-complex axpy_h_offset_z 319.4011
32 20 4D-complex axpy_h_offset_t 320.9830
32 20 4D-complex axpy_h_offset_xy 325.0794
32 20 4D-complex axpy_h_offset_xz 319.2020
32 20 4D-complex axpy_h_offset_xt 320.6011
32 20 4D-complex axpy_h_offset_yz 323.0284
32 20 4D-complex axpy_h_offset_yt 321.2045
32 20 4D-complex axpy_h_offset_zt 320.2001
32 20 4D-complex axpy_h_offset_xyz 316.2251
32 20 4D-complex axpy_h_offset_xyt 320.4005
32 20 4D-complex axpy_h_offset_xzt 319.3812
32 20 4D-complex axpy_h_offset_yzt 320.8020
32 20 4D-complex axpy_h_offset_xyzt 318.8045
32 20 Gauge-SU3 su3Xsu3 901.9907
32 20 Gauge-SU3 su3Xsu3_h_no_shift 906.0403
32 20 Gauge-SU3 su3Xsu3_h_shift_x 898.9086
32 20 Gauge-SU3 su3Xsu3_h_shift_y 892.4986
32 20 Gauge-SU3 su3Xsu3_h_shift_z 902.4294
32 20 Gauge-SU3 su3Xsu3_h_shift_t 903.6387
32 20 Gauge-SU3 su3Xsu3_h_shift_xy 907.2593
32 20 Gauge-SU3 su3Xsu3_h_shift_xz 894.3752
32 20 Gauge-SU3 su3Xsu3_h_shift_xt 894.4620
32 20 Gauge-SU3 su3Xsu3_h_shift_yz 892.4698
32 20 Gauge-SU3 su3Xsu3_h_shift_yt 898.0355
32 20 Gauge-SU3 su3Xsu3_h_shift_zt 892.2682
32 20 Gauge-SU3 su3Xsu3_h_shift_xyz 894.0542
32 20 Gauge-SU3 su3Xsu3_h_shift_xyt 900.4338
32 20 Gauge-SU3 su3Xsu3_h_shift_xzt 898.9699
32 20 Gauge-SU3 su3Xsu3_h_shift_yzt 894.9513
32 20 Gauge-SU3 su3Xsu3_h_shift_xyzt 899.3764
32 24 4D-complex axpy 671.1019
32 24 4D-complex axpy_h_no_offset 661.4849
32 24 4D-complex axpy_h_offset_x 659.8404
32 24 4D-complex axpy_h_offset_y 664.3825
32 24 4D-complex axpy_h_offset_z 670.2545
32 24 4D-complex axpy_h_offset_t 666.0497
32 24 4D-complex axpy_h_offset_xy 654.5519
32 24 4D-complex axpy_h_offset_xz 656.5759
32 24 4D-complex axpy_h_offset_xt 654.9557
32 24 4D-complex axpy_h_offset_yz 663.9255
32 24 4D-complex axpy_h_offset_yt 665.6321
32 24 4D-complex axpy_h_offset_zt 668.5241
32 24 4D-complex axpy_h_offset_xyz 662.7236
32 24 4D-complex axpy_h_offset_xyt 656.5759
32 24 4D-complex axpy_h_offset_xzt 657.7963
32 24 4D-complex axpy_h_offset_yzt 666.4678
32 24 4D-complex axpy_h_offset_xyzt 657.7555
32 24 Gauge-SU3 su3Xsu3 969.5983
32 24 Gauge-SU3 su3Xsu3_h_no_shift 966.7208
32 24 Gauge-SU3 su3Xsu3_h_shift_x 964.2818
32 24 Gauge-SU3 su3Xsu3_h_shift_y 966.1343
32 24 Gauge-SU3 su3Xsu3_h_shift_z 970.1250
32 24 Gauge-SU3 su3Xsu3_h_shift_t 971.9160
32 24 Gauge-SU3 su3Xsu3_h_shift_xy 962.8745
32 24 Gauge-SU3 su3Xsu3_h_shift_xz 961.8244
32 24 Gauge-SU3 su3Xsu3_h_shift_xt 963.2126
32 24 Gauge-SU3 su3Xsu3_h_shift_yz 969.0738
32 24 Gauge-SU3 su3Xsu3_h_shift_yt 966.9817
32 24 Gauge-SU3 su3Xsu3_h_shift_zt 965.9064
32 24 Gauge-SU3 su3Xsu3_h_shift_xyz 965.5014
32 24 Gauge-SU3 su3Xsu3_h_shift_xyt 963.8927
32 24 Gauge-SU3 su3Xsu3_h_shift_xzt 964.9472
32 24 Gauge-SU3 su3Xsu3_h_shift_yzt 974.3606
32 24 Gauge-SU3 su3Xsu3_h_shift_xyzt 967.4549
32 28 4D-complex axpy 1053.5079
32 28 4D-complex axpy_h_no_offset 1039.5873
32 28 4D-complex axpy_h_offset_x 1014.3884
32 28 4D-complex axpy_h_offset_y 1048.4537
32 28 4D-complex axpy_h_offset_z 1051.8178
32 28 4D-complex axpy_h_offset_t 1053.5079
32 28 4D-complex axpy_h_offset_xy 1023.3074
32 28 4D-complex axpy_h_offset_xz 1020.7053
32 28 4D-complex axpy_h_offset_xt 1034.6655
32 28 4D-complex axpy_h_offset_yz 1037.9415
32 28 4D-complex axpy_h_offset_yt 1044.5561
32 28 4D-complex axpy_h_offset_zt 1068.9670
32 28 4D-complex axpy_h_offset_xyz 1045.6668
32 28 4D-complex axpy_h_offset_xyt 1047.9510
32 28 4D-complex axpy_h_offset_xzt 1032.4930
32 28 4D-complex axpy_h_offset_yzt 1037.9415
32 28 4D-complex axpy_h_offset_xyzt 1026.5118
32 28 Gauge-SU3 su3Xsu3 988.6970
32 28 Gauge-SU3 su3Xsu3_h_no_shift 989.3131
32 28 Gauge-SU3 su3Xsu3_h_shift_x 986.5939
32 28 Gauge-SU3 su3Xsu3_h_shift_y 986.4381
32 28 Gauge-SU3 su3Xsu3_h_shift_z 987.7959
32 28 Gauge-SU3 su3Xsu3_h_shift_t 992.6788
32 28 Gauge-SU3 su3Xsu3_h_shift_xy 984.9462
32 28 Gauge-SU3 su3Xsu3_h_shift_xz 982.5689
32 28 Gauge-SU3 su3Xsu3_h_shift_xt 982.4871
